,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2928,B11D03EC02653F58013FEA30C567ADAC,358.21002,0.0,0.0,52.4,0.0,0.0
2929,B16504DBA6B0E3EB7E0FC8DBFD6E8927,279.5476,0.0,0.0,9.0,0.0,0.0
2930,B17A732B0B6EE82A90C8E66BF8D44FD7,51.95456,0.0,0.0,29.1,0.0,0.0
2931,B181AC6AF846AE06BE853E0245C6F0A7,396.66031,0.0,0.0,49.5,0.0,0.0
2932,B1ADFCA72182C6EE2C918021DC6F8AC4,2.8182300000000002,0.0,0.0,13.6,0.0,0.0
2933,B1BF6BCE38DC9546245CF607BCFE9D35,8.65967,0.0,0.0,1.1,0.0,0.0
2934,B1BFEB4B68318A6C063ABC97DE9E6AE5,145.18931,0.0,0.0,15.6,0.0,0.0
2935,B1D20FE161845E04823E376F266B62EC,131.67662,0.0,0.0,11.8,0.0,0.0
2936,B1D3F6B9B0FE9DF182BBD1B36A7FC5BB,563.75047,0.0,0.0,31.0,0.0,0.0
2937,B1DE86A8A2857525802ACD2888578A17,417.00366999999994,0.0,0.0,41.0,0.0,0.0
2938,B1E09F07B09E59452024E4B796773440,196.67255000000003,0.0,0.0,8.1,0.0,0.0
2939,B20C7C3B08A99AC8AF9CB2FB067A11D5,0.26022999999999996,0.0,0.0,1.3,0.0,0.0
2940,B21D7E3F743EC6AA78758EDD7F772FF8,50.37692,944.3431800000001,0.0,4.9,89.2,0.0
2941,B22779967C4C77476C35D2DD76E0C213,363.61032,0.0,0.0,24.3,0.0,0.0
2942,B2343E75313416EC73AF5DCEE2D2FDE0,89.80953,72.22598,7.20038,26.9,17.5,3.2
2943,B234E0D036998220F017A965AA0C761C,1807.44594,0.0,0.0,101.2,0.0,0.0
2944,B23731391EAADB16149364CC75AEBF2E,1611.9897999999998,0.0,0.0,33.1,0.0,0.0
2945,B23D06C061DE99F756EDF087AC845546,19.720779999999998,0.0,0.0,2.2,0.0,0.0
2946,B24CA7865DFA40011559C4EF50ED2388,168.34465,0.0,0.0,18.7,0.0,0.0
2947,B257121305F4FBE1B8BDC00240BFC4AB,732.3515,0.0,0.0,33.6,0.0,0.0
2948,B25CD4E2AA9FAACA1ADBCEC99D064F49,2.31511,0.0,0.0,4.8,0.0,0.0
2949,B26675F5109C702A481A048BFCB56729,45.271480000000004,0.0,0.0,2.4,0.0,0.0
2950,B2704B35BAC3D6FA9B20AC2E41C0204F,198.50274000000002,0.0,0.0,11.8,0.0,0.0
2951,B272C869EA9573067F3C891A7741F3CE,55.50274,0.0,0.0,3.2,0.0,0.0
2952,B274A6EF0CCA138E5982840EE6251873,67.36967999999999,0.0,0.0,3.7,0.0,0.0
2953,B295B084B098456BD1D814CDAD1D0B12,76.01978999999999,0.0,0.0,23.6,0.0,0.0
2954,B2A1944B37CADCA946D762CBDCDBC266,243.29720000000003,0.0,0.0,7.7,0.0,0.0
2955,B2C089D2258A686CD7216B4B96CC7F99,654.85493,0.0,0.0,43.1,0.0,0.0
2956,B2D5D2BC5365A6FFA3E914C3A0239E7E,14.674509999999998,0.0,0.0,11.2,0.0,0.0
